,id,result,completed_by_id,lead_time,project_id,task_id
0,117925,"[{""id"": ""mdw1a0B4EM"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",61,5.781000000000001,356,498543
1,117926,"[{""id"": ""NbmYrqlqDs"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",61,9.139,356,498545
2,117941,"[{""id"": ""4dr69qx0nR"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",61,4.9030000000000005,356,498567
3,117928,"[{""id"": ""cS8qDJdvmZ"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",61,5.897,356,498547
4,117942,"[{""id"": ""_cs1WtB53U"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",61,5.6610000000000005,356,498569
5,118029,"[{""id"": ""LBhFv6d8MH"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",121,3.3,356,498389
6,117930,"[{""id"": ""3VCbtzrkv3"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",61,5.402,356,498549
7,117931,"[{""id"": ""3TKuMM_kEx"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",61,5.447,356,498551
8,118030,"[{""id"": ""AdrtY3kH04"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",121,2.6860000000000004,356,498391
9,118032,"[{""id"": ""1PdTRBN1_1"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",121,2.92,356,498393
10,118033,"[{""id"": ""drJXP4Yhm1"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",121,4.074,356,498395
11,118035,"[{""id"": ""CuAjgDyG-3"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",121,3.207,356,498397
12,118036,"[{""id"": ""W4FHuHN6J6"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",121,5.57,356,498399
13,118037,"[{""id"": ""CUX0Jn0GHH"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",121,8.749,356,498401
14,118038,"[{""id"": ""p1Gi7Fi6Ju"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",121,6.808,356,498403
15,118039,"[{""id"": ""TfyqmV0SxA"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",121,3.283,356,498405
16,118040,"[{""id"": ""7FPoouBpE2"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",121,3.1310000000000002,356,498407
17,118041,"[{""id"": ""8QojmiDAZz"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",121,3.918,356,498409
18,118042,"[{""id"": ""nAnAoKl5xK"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",121,4.354,356,498411
19,118043,"[{""id"": ""zlvYTmFKep"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",121,2.001,356,498413
20,118044,"[{""id"": ""g4eE9gRiDs"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",121,1.99,356,498415
21,129560,"[{""id"": ""mdNnLdtUbU"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",244,4.065,356,498465
22,117065,"[{""id"": ""7UWlaekIpG"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,4.8,356,498421
23,117075,"[{""id"": ""PMbmCQN1GX"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,5.105,356,498441
24,117078,"[{""id"": ""uayUTV1NDs"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,5.502000000000001,356,498447
25,117080,"[{""id"": ""rvpwh6l4Sg"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.255,356,498451
26,117934,"[{""id"": ""5LTR9OWC_p"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",61,5.811,356,498553
27,118045,"[{""id"": ""88fEjYZJKA"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",121,3.471,356,498417
28,117935,"[{""id"": ""Fmq-TYa-rS"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",61,6.745,356,498555
29,117944,"[{""id"": ""xtBIvuHpkF"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",61,5.428999999999999,356,498571
30,117066,"[{""id"": ""8CQad4z5Qj"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.4930000000000003,356,498423
31,117076,"[{""id"": ""5PZbQSW5rF"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,4.291,356,498443
32,117079,"[{""id"": ""3PEanYUYbH"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.0639999999999996,356,498449
33,117081,"[{""id"": ""mwNKKnV209"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,4.9319999999999995,356,498453
34,117082,"[{""id"": ""miKgCTzTsk"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.008,356,498455
35,117083,"[{""id"": ""VLJUOKoODw"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.12,356,498457
36,117067,"[{""id"": ""lpPTY4gd5g"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,4.297,356,498425
37,117068,"[{""id"": ""6QJDE0YRuC"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.4,356,498427
38,129561,"[{""id"": ""Kj2mbYv6A5"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",244,3.015,356,498467
39,129637,"[{""id"": ""Bndr15OQHt"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",249,2.782,356,498379
40,117069,"[{""id"": ""wjyzQTTvir"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,4.3260000000000005,356,498429
41,117070,"[{""id"": ""ZyuBxhrVHM"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.1630000000000003,356,498431
42,117071,"[{""id"": ""GU_qWsrdix"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.589,356,498433
43,117072,"[{""id"": ""rNoxTpSHBJ"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.8789999999999996,356,498435
44,117063,"[{""id"": ""BfhER__pad"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.094,356,498417
45,117073,"[{""id"": ""wddorUGEbR"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.033,356,498437
46,117064,"[{""id"": ""GjhkPnsjXa"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.432,356,498419
47,117074,"[{""id"": ""atFay-mE_S"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.877,356,498439
48,117077,"[{""id"": ""HZIF-Z4nJT"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,7.542999999999999,356,498445
49,117044,"[{""id"": ""AH-VoaFc2j"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,1.821,356,498379
50,117045,"[{""id"": ""A1D41SUBU8"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.656,356,498381
51,117046,"[{""id"": ""P3bzq9KV55"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,4.599,356,498383
52,117047,"[{""id"": ""3BjqjyEx0v"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.839,356,498385
53,117048,"[{""id"": ""yaMm8Jr-X1"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.188,356,498387
54,117049,"[{""id"": ""6jxuc9yYyg"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.9789999999999996,356,498389
55,117050,"[{""id"": ""1_WDcWWD-o"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.2689999999999997,356,498391
56,117051,"[{""id"": ""mgKxj0wDr_"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.4139999999999997,356,498393
57,117052,"[{""id"": ""EMYCVSGt6y"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.197,356,498395
58,117053,"[{""id"": ""qHVnQ7MEsg"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.016,356,498397
59,117054,"[{""id"": ""wt1oXIQN6t"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.4010000000000002,356,498399
60,117055,"[{""id"": ""1Hg2YXwqme"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.3510000000000004,356,498401
61,117056,"[{""id"": ""04195LwZVQ"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.263,356,498403
62,117057,"[{""id"": ""NeCgSfef_d"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.926,356,498405
63,117058,"[{""id"": ""3egx-TQdJL"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.1710000000000003,356,498407
64,117059,"[{""id"": ""3bPY9AJx8A"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,30.811999999999998,356,498409
65,117060,"[{""id"": ""-shdLt7QEg"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,4.254,356,498411
66,117061,"[{""id"": ""54MqJ0Mjut"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,4.11,356,498413
67,117062,"[{""id"": ""jM6GNgIpgm"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,3.162,356,498415
68,117084,"[{""id"": ""QPCwnlGI96"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.4219999999999997,356,498459
69,117085,"[{""id"": ""sAE4jWUROG"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.239,356,498461
70,117086,"[{""id"": ""On_L_Ipl53"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,1.996,356,498463
71,117087,"[{""id"": ""hQRuA5JPPv"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.3890000000000002,356,498465
72,117088,"[{""id"": ""MGiMxmnofD"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.355,356,498467
73,117089,"[{""id"": ""9YilBTSQ0_"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.193,356,498469
74,117090,"[{""id"": ""MbxFfpE9Yc"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.155,356,498471
75,117091,"[{""id"": ""iMPLq61nme"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.569,356,498473
76,117092,"[{""id"": ""-zuta_Vm-t"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,4.885,356,498475
77,117093,"[{""id"": ""IF0vyQva0C"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.895,356,498477
78,117094,"[{""id"": ""4JX09ROUst"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.209,356,498479
79,117095,"[{""id"": ""XWGDIOgKPz"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.408,356,498481
80,117096,"[{""id"": ""flRjCEcOXE"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.267,356,498483
81,117097,"[{""id"": ""VkAY4dWdhh"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.524,356,498485
82,117098,"[{""id"": ""9VGyhClUSd"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.485,356,498487
83,117099,"[{""id"": ""2PgXGEEw5-"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.865,356,498489
84,117100,"[{""id"": ""vHaPYRf--i"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.781,356,498491
85,117101,"[{""id"": ""V2y0vgWs_C"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.597,356,498493
86,117102,"[{""id"": ""KzWlyBl6HR"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.75,356,498495
87,117103,"[{""id"": ""WJaaKKXoDT"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.285,356,498497
88,117104,"[{""id"": ""N4AC8l02dm"", ""type"": ""choices"", ""value"": {""choices"": [""dog""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.3209999999999997,356,498499
89,117105,"[{""id"": ""EWVu3D6ZUb"", ""type"": ""choices"", ""value"": {""choices"": [""cat""]}, ""to_name"": ""image"", ""from_name"": ""choice""}]",76,2.492,356,498501
